N,P,K,temperature,humidity,ph,rainfall,label
22,32,10,27,53,6.05,672,Pulses
5,19,2,25,56,6.04,632,Pulses
38,8,14,29,55,8.16,930,Cotton
36,33,3,33,56,7.16,623,Ground Nuts
14,34,0,32,62,6.72,662,Oil seeds
32,20,0,32,59,6.29,981,Ground Nuts
40,27,13,26,72,6.3,429,Pulses
34,40,8,38,72,7.46,576,Maize
6,19,11,28,65,6.53,684,Barley
19,14,14,31,70,7.69,443,Oil seeds
36,23,9,27,70,7.42,434,Millets
16,10,3,26,72,7.85,417,Oil seeds
10,36,11,37,56,6.86,1375,Paddy
27,10,8,28,71,6.07,367,Millets
6,14,2,32,72,6.84,602,Pulses
27,16,13,28,50,6.24,459,Wheat
35,15,15,28,66,6.91,721,Ground Nuts
32,16,17,28,57,6.77,1105,Paddy
15,7,8,31,59,7.37,1163,Cotton
40,17,4,27,56,6.58,560,Millets
25,37,6,37,68,6.61,832,Tobacco
20,11,0,33,57,6.79,337,Barley
10,35,11,30,70,7.33,847,Wheat
34,32,8,29,64,6.49,926,Wheat
22,36,16,33,66,6.14,424,Barley
13,42,12,34,59,7.37,470,Pulses
14,16,14,32,62,7.68,772,Wheat
27,19,8,30,58,7.12,681,Wheat
29,25,5,31,56,7.07,1467,Sugarcane
6,24,4,30,67,7.14,1159,Sugarcane
12,30,5,38,51,6.54,810,Tobacco
41,18,14,27,53,6.29,1345,Paddy
17,40,10,34,72,6.82,1354,Sugarcane
33,24,4,26,72,6.92,400,Oil seeds
39,42,16,28,56,6.5,440,Barley
10,20,19,31,60,6.3,387,Barley
40,37,15,25,62,6.36,1022,Paddy
4,36,15,28,65,6.61,760,Tobacco
17,30,2,30,63,6.64,778,Wheat
23,14,17,33,63,6.45,1153,Paddy
15,1,17,34,68,6.56,896,Wheat
37,20,4,32,65,7.6,962,Wheat
35,5,11,30,56,6.26,1464,Sugarcane
36,33,9,32,52,7.43,1125,Sugarcane
26,26,10,29,62,7.3,789,Barley
39,38,18,26,69,6.85,554,Ground Nuts
36,6,15,29,67,6.32,1294,Paddy
16,30,5,32,68,6.73,1302,Paddy
36,32,7,26,60,6.01,716,Wheat
25,26,4,33,52,6.83,703,Ground Nuts
26,1,14,36,56,6.31,1146,Ground Nuts
29,30,5,38,65,7.94,413,Oil seeds
37,31,2,32,54,6.98,497,Oil seeds
33,22,6,35,50,7.22,408,Wheat
27,41,11,25,53,6.16,518,Pulses
22,22,3,31,65,6.69,750,Oil seeds
10,10,7,35,60,7.29,564,Pulses
16,39,15,27,68,7.38,875,Wheat
24,3,6,28,55,6.18,716,Pulses
9,12,0,29,54,6.12,1031,Ground Nuts
29,16,0,26,50,5.78,991,Tobacco
42,35,15,29,60,6.58,805,Tobacco
18,23,12,37,70,7.31,669,Maize
19,9,4,29,71,6.41,1402,Sugarcane
26,42,5,31,70,6.26,747,Ground Nuts
30,13,4,25,62,6.77,1148,Paddy
17,39,19,34,53,6.17,779,Maize
15,12,1,35,52,7.31,349,Millets
7,27,13,36,59,6.98,1507,Sugarcane
12,29,0,34,54,7.89,896,Cotton
17,31,17,34,62,6.13,1399,Paddy
21,41,12,32,66,6.62,745,Maize
15,5,13,25,59,7.03,332,Barley
13,21,8,32,51,6.95,1100,Paddy
29,24,8,32,71,7.53,516,Wheat
4,6,6,30,57,7.11,1172,Cotton
15,5,17,36,59,7.19,547,Maize
38,22,16,34,65,6.15,690,Wheat
42,24,16,30,65,6.1,1364,Sugarcane
42,19,9,31,69,7.63,750,Oil seeds
16,21,12,34,61,6.71,972,Tobacco
34,31,5,31,65,7.5,1128,Sugarcane
36,32,7,30,66,7.01,1989,Sugarcane
36,19,0,26,68,7.12,724,Pulses
36,26,3,29,58,7.1,1117,Cotton
22,42,11,32,66,7.26,1420,Sugarcane
31,25,9,27,63,6.45,558,Pulses
9,16,6,29,67,7.22,1751,Sugarcane
32,17,2,36,64,7.43,756,Maize
29,14,7,32,67,6.91,775,Maize
12,10,0,38,68,5.65,1310,Paddy
36,41,1,27,55,6.37,1314,Paddy
21,9,7,35,54,6.4,758,Wheat
7,20,5,29,61,5.54,1432,Paddy
30,1,12,27,56,6.34,773,Maize
14,30,7,32,52,7.42,699,Pulses
37,17,5,37,53,7.49,442,Oil seeds
26,34,0,26,71,7.2,453,Millets
26,31,18,32,67,6.85,484,Barley
35,36,0,29,65,7.13,945,Ground Nuts
19,24,11,36,66,7.05,662,Maize
32,21,4,32,60,6.4,1676,Sugarcane
29,41,6,29,58,7.05,815,Pulses
30,12,19,32,64,5.51,1243,Paddy
17,35,16,30,70,5.67,789,Tobacco
13,4,4,25,61,6.81,733,Ground Nuts
8,1,15,28,68,6.52,856,Tobacco
38,27,0,35,72,6.41,671,Barley
9,18,11,26,63,7,600,Wheat
23,30,12,37,61,6.76,1259,Paddy
38,18,19,38,51,5.69,1430,Paddy
10,23,1,36,64,8,1036,Cotton
10,8,9,26,64,5.89,1416,Paddy
10,14,16,38,70,6.98,576,Millets
33,14,2,28,62,7.3,531,Millets
23,20,4,32,70,6.96,659,Wheat
35,2,5,35,72,6.96,655,Oil seeds
38,30,4,31,57,7.97,442,Oil seeds
20,24,12,33,56,6.71,1329,Paddy
17,13,10,34,67,7.66,1105,Cotton
16,11,17,26,60,7.19,1843,Sugarcane
9,17,4,29,64,6.58,544,Oil seeds
13,1,8,26,59,7.72,451,Wheat
6,35,1,32,64,6.38,378,Millets
4,41,4,33,68,6.4,965,Ground Nuts
38,9,10,34,54,6.88,413,Millets
41,1,3,26,59,6.84,784,Wheat
10,0,10,26,58,6.8,384,Millets
37,20,5,37,53,7.1,912,Wheat
42,16,13,26,62,7.13,1360,Sugarcane
18,13,5,37,58,6.34,1391,Paddy
15,34,19,34,57,7.16,691,Barley
24,40,19,30,50,6.44,1150,Ground Nuts
39,37,6,35,51,7.07,1598,Sugarcane
11,0,3,37,50,6.43,644,Ground Nuts
15,9,6,35,60,6.94,1194,Ground Nuts
30,20,19,31,59,6.33,493,Wheat
24,39,6,29,63,7.22,303,Barley
32,6,13,25,52,6.81,435,Pulses
33,31,4,26,62,6.83,741,Oil seeds
34,9,16,33,52,6.22,1842,Sugarcane
37,41,9,33,53,7,671,Maize
5,42,17,31,54,6.92,520,Barley
32,17,10,25,56,5.73,986,Tobacco
34,19,6,33,57,6.37,798,Barley
26,15,12,35,55,6.02,314,Barley
25,6,1,32,50,6.6,506,Maize
15,24,9,30,67,6.47,1076,Sugarcane
20,26,2,31,61,6.92,571,Maize
7,39,4,29,63,7.31,375,Millets
12,19,14,32,50,7.2,785,Maize
22,36,3,38,68,6.08,763,Barley
39,34,2,28,58,6.78,812,Tobacco
24,7,19,31,50,6.26,531,Pulses
8,23,7,37,71,6.63,642,Oil seeds
42,14,16,32,50,6.89,496,Oil seeds
37,26,6,31,59,6,1300,Sugarcane
5,25,13,26,58,7.2,881,Cotton
30,7,12,35,50,6.73,978,Ground Nuts
30,37,8,38,58,6.29,772,Barley
16,9,15,25,51,6.43,1092,Paddy
26,35,6,28,59,7.11,412,Millets
26,1,14,33,69,6.06,602,Barley
10,36,1,30,68,6.35,1067,Ground Nuts
29,18,15,33,57,6.79,1003,Ground Nuts
29,32,14,35,69,7.48,548,Maize
35,6,12,31,56,6.12,489,Wheat
38,10,1,28,51,7.73,775,Wheat
14,19,8,35,62,7.54,740,Oil seeds
22,12,13,29,62,7.23,487,Barley
35,24,5,28,65,5.56,772,Tobacco
13,2,3,35,65,7.04,383,Millets
19,3,1,35,63,7.46,623,Oil seeds
7,9,4,38,71,6.22,778,Ground Nuts
6,2,12,37,56,6.05,677,Wheat
19,41,0,38,67,6.93,1067,Paddy
9,20,19,38,60,7.33,621,Pulses
24,15,19,26,60,6.33,843,Pulses
6,0,15,36,54,6.58,1336,Paddy
34,14,2,37,70,6.89,1027,Paddy
17,20,15,34,68,7.51,1141,Cotton
13,4,15,35,65,6.07,682,Barley
11,19,16,30,58,6.65,732,Wheat
36,19,13,37,52,6.15,1931,Sugarcane
18,33,10,28,57,6.76,1394,Paddy
13,4,0,27,53,7.18,712,Wheat
36,29,17,35,52,7.5,970,Cotton
38,41,18,26,50,6.47,1650,Sugarcane
14,22,14,34,60,7.68,1122,Cotton
33,10,7,36,57,6.27,1417,Paddy
6,4,11,38,51,6.58,549,Ground Nuts
21,5,14,28,57,6.29,474,Barley
8,26,7,38,70,5.96,1472,Paddy
25,28,11,30,71,7.89,1082,Cotton
26,34,18,36,65,7.37,708,Wheat
18,37,18,29,70,6.9,796,Oil seeds
42,5,14,28,63,7.09,402,Wheat
37,31,11,38,61,7.27,800,Pulses
8,4,17,27,57,6.72,589,Maize
35,36,3,30,65,6.55,684,Ground Nuts
40,13,9,27,51,6.62,658,Wheat
39,39,6,33,68,6.2,899,Wheat
42,36,11,35,68,7.28,842,Wheat
27,35,16,32,72,7.4,797,Barley
30,18,11,32,61,5.86,1062,Paddy
22,37,6,37,61,6.14,1363,Paddy
39,36,11,30,54,6.56,783,Tobacco
20,2,6,29,55,6.51,461,Millets
18,16,6,34,51,7.22,807,Cotton
39,5,4,33,64,6.95,433,Oil seeds
37,40,17,25,63,6.94,787,Maize
14,5,14,33,60,7.22,491,Oil seeds
37,4,3,30,60,5.77,1346,Paddy
15,9,7,27,67,7.3,767,Maize
41,30,8,38,57,6.32,1263,Paddy
32,11,13,37,53,6.76,1212,Sugarcane
41,14,14,28,56,5.58,933,Tobacco
38,32,16,33,71,6.03,992,Tobacco
13,14,10,32,53,7.19,558,Maize
22,32,13,33,62,6,711,Tobacco
7,23,19,30,50,6.75,692,Tobacco
30,33,15,37,62,7.65,847,Cotton
7,40,16,38,55,7.35,711,Maize
13,11,15,27,60,7.34,1199,Sugarcane
33,37,13,31,61,7.87,580,Oil seeds
32,11,19,36,63,6.71,515,Ground Nuts
31,34,4,30,61,6.61,763,Tobacco
6,21,18,31,51,6.52,842,Tobacco
16,0,5,25,66,6.27,557,Maize
37,13,3,33,54,7.2,317,Barley
12,40,7,36,56,7.4,586,Maize
20,12,11,34,54,6.07,1507,Sugarcane
27,1,8,32,58,6.46,451,Wheat
20,0,6,25,65,7.42,671,Maize
20,18,9,32,68,6.83,529,Maize
40,4,6,29,57,7.11,1171,Cotton
42,33,11,30,65,6.62,599,Millets
5,37,16,34,71,6.85,722,Maize
19,36,17,37,53,6.94,718,Ground Nuts
9,13,15,37,54,6.99,473,Wheat
26,7,17,29,60,6.32,1143,Paddy
27,29,15,27,53,6.64,630,Tobacco
29,30,11,29,54,8.06,954,Cotton
22,13,17,28,55,6.48,741,Tobacco
20,12,18,36,52,7.38,1781,Sugarcane
11,32,18,25,51,5.55,895,Tobacco
20,35,19,34,62,7.38,481,Oil seeds
4,15,5,37,51,6.61,398,Barley
39,2,8,36,70,6.03,957,Tobacco
19,24,10,37,56,7.07,772,Cotton
35,24,0,33,51,5.7,1251,Paddy
5,38,6,27,67,6.39,530,Pulses
5,30,15,34,57,7.13,1055,Cotton
24,12,14,27,61,7.04,458,Pulses
42,37,0,26,62,6.81,789,Maize
6,21,8,34,56,6.96,688,Ground Nuts
28,12,7,31,72,7.67,948,Wheat
16,34,10,32,51,7.09,446,Barley
11,28,0,38,65,6.19,656,Ground Nuts
24,18,13,36,54,7.31,1092,Cotton
28,30,0,37,52,6.23,1521,Sugarcane
21,24,13,38,59,7.12,615,Barley
22,0,10,37,67,5.71,714,Tobacco
30,15,14,27,57,6.16,748,Tobacco
11,20,15,26,72,5.72,681,Tobacco
11,24,2,32,59,6.83,1832,Sugarcane
15,28,8,37,69,6.85,665,Oil seeds
7,1,17,26,56,7.08,759,Cotton
20,30,13,33,70,7.32,418,Barley
29,8,15,33,69,6.55,522,Oil seeds
33,32,12,25,68,6.55,828,Tobacco
17,30,16,32,72,7.13,400,Oil seeds
10,24,6,38,61,6.78,597,Millets
27,18,11,33,65,6.4,904,Ground Nuts
33,4,3,26,56,7.17,615,Barley
42,16,7,26,67,6.76,649,Pulses
42,17,13,27,67,6.93,974,Ground Nuts
8,5,19,32,53,6.99,695,Wheat
39,17,12,36,60,6.81,1034,Paddy
42,26,3,38,71,7.49,661,Oil seeds
10,35,10,30,67,6.7,472,Millets
4,4,12,27,64,7.45,583,Millets
26,23,14,28,67,7.22,977,Cotton
31,29,11,27,58,7.06,762,Ground Nuts
32,11,2,25,50,7.59,594,Wheat
6,30,15,36,50,6.96,1224,Sugarcane
18,41,8,28,67,6.66,1760,Sugarcane
14,27,6,37,72,6.02,343,Millets
17,33,12,31,62,6.83,1544,Sugarcane
40,21,16,31,51,6.32,777,Ground Nuts
42,5,17,32,59,6.18,644,Pulses
21,13,9,36,66,6.17,704,Pulses
31,26,10,25,72,6.37,525,Pulses
35,22,8,36,58,6.48,787,Barley
7,18,0,29,56,6.02,972,Tobacco
7,20,5,37,59,6.06,927,Tobacco
31,13,9,25,58,6.08,665,Tobacco
9,37,5,25,65,6.11,1313,Paddy
35,32,17,26,62,6.67,634,Maize
42,10,0,25,50,7.42,431,Millets
11,14,11,36,50,6.77,615,Barley
4,30,17,30,60,6.82,587,Millets
15,16,4,37,69,8.01,882,Cotton
12,7,5,33,66,6.8,637,Wheat
42,13,15,36,58,6.77,833,Wheat
32,14,5,31,68,6.06,880,Tobacco
34,25,3,32,57,6.74,719,Maize
13,0,1,37,53,7.44,505,Pulses
27,14,7,26,70,6.53,553,Barley
5,30,12,33,55,7.01,1307,Sugarcane
11,0,5,33,71,6.77,755,Tobacco
24,39,2,29,52,7.21,643,Oil seeds
17,38,18,34,56,5.87,724,Tobacco
35,40,11,25,64,6.08,1398,Paddy
42,2,17,34,72,6.19,565,Barley
21,4,4,27,67,7.08,423,Barley
26,23,14,33,59,6.99,788,Ground Nuts
11,15,18,27,52,8.02,949,Cotton
18,2,19,25,59,6.99,447,Oil seeds
24,29,13,34,60,7.01,795,Ground Nuts
14,22,16,34,54,6.99,717,Barley
14,16,6,37,64,6.48,852,Wheat
34,33,3,36,59,6.42,760,Tobacco
21,38,18,37,63,6.3,1454,Sugarcane
16,10,15,30,68,7.04,1190,Cotton
4,30,1,30,56,6.98,1627,Sugarcane
16,29,19,31,67,6.12,859,Tobacco
23,34,16,27,70,5.53,1027,Paddy
15,6,4,35,60,6.39,1538,Sugarcane
5,40,5,36,56,7.58,720,Oil seeds
8,3,18,32,59,6.86,1250,Paddy
13,7,13,27,59,7.07,582,Oil seeds
28,26,10,33,61,7.42,460,Oil seeds
18,30,14,35,72,6.51,551,Ground Nuts
17,39,4,30,57,8.17,787,Cotton
34,40,0,32,59,7.02,755,Pulses
40,17,6,33,50,7.45,672,Barley
26,38,14,29,65,6.25,870,Tobacco
38,28,5,37,50,8.19,793,Cotton
16,23,15,34,66,7.2,519,Maize
42,12,18,38,66,6.36,600,Barley
38,32,19,35,67,6.71,1922,Sugarcane
10,6,6,34,62,6.44,828,Pulses
7,21,7,34,60,6.83,388,Millets
13,38,16,29,66,5.67,1041,Paddy
17,1,10,38,63,7.78,1149,Cotton
7,22,1,27,64,6.91,741,Maize
37,12,7,28,54,6.85,926,Wheat
20,36,3,25,69,6.76,515,Millets
38,18,3,31,53,7.4,1080,Sugarcane
16,26,13,31,64,6.81,1122,Paddy
6,3,4,31,58,7.16,1101,Cotton
24,23,18,32,68,6.08,756,Tobacco
22,9,16,35,57,6.61,360,Millets
15,15,4,38,51,7.05,630,Maize
12,38,4,27,68,7.23,304,Millets
38,5,0,27,50,6.71,670,Ground Nuts
39,13,12,33,59,7.07,661,Oil seeds
30,27,6,27,58,6.27,331,Barley
5,30,19,30,60,6.24,1883,Sugarcane
32,2,8,25,66,7.96,920,Cotton
29,7,13,36,57,7.57,1026,Cotton
13,28,19,28,72,6.59,1103,Ground Nuts
34,13,9,25,68,7.18,639,Barley
16,37,0,27,56,7.25,1456,Sugarcane
31,34,17,27,54,6.36,1166,Sugarcane
29,10,0,33,63,5.68,1241,Paddy
27,29,10,25,62,7.26,753,Wheat
36,26,12,25,62,6.09,571,Maize
38,22,2,34,53,7.35,447,Millets
18,28,14,28,68,6.91,1500,Sugarcane
28,0,9,36,52,8.02,1030,Cotton
33,33,2,26,55,7.5,568,Maize
15,21,3,25,67,7.27,411,Barley
4,9,12,26,60,6.82,796,Pulses
35,10,3,30,59,6.78,1345,Sugarcane
18,30,12,27,52,5.72,925,Tobacco
26,31,19,25,59,6.54,692,Pulses
7,14,16,35,54,7.34,1914,Sugarcane
33,39,12,34,52,7,399,Millets
9,29,19,33,63,7.28,455,Oil seeds
13,3,14,26,71,6.85,731,Ground Nuts
25,17,6,34,65,7.46,564,Pulses
29,31,0,33,71,7.48,564,Oil seeds
22,22,2,35,64,7.27,437,Millets
33,16,14,28,57,6.46,534,Maize
9,34,2,35,62,7.1,440,Barley
8,33,1,36,68,5.93,1257,Paddy
28,6,16,30,50,6.76,522,Maize
31,20,6,35,56,6.35,697,Pulses
32,40,14,34,53,6.99,1454,Sugarcane
13,39,7,37,52,6.44,1086,Ground Nuts
24,35,15,35,56,7.36,497,Oil seeds
16,6,0,30,59,7.78,746,Wheat
22,30,13,35,72,5.5,1145,Paddy
12,17,12,33,63,7.11,594,Maize
13,38,6,35,50,6.55,1446,Paddy
34,2,4,28,58,6.61,519,Millets
24,22,1,25,57,7.99,769,Oil seeds
31,35,17,33,60,6.1,482,Millets
9,14,1,31,70,7.47,973,Wheat
5,40,3,28,54,6.38,840,Tobacco
18,37,7,27,58,7.02,1621,Sugarcane
32,4,4,38,50,6.03,345,Millets
4,33,4,31,55,6.75,1264,Paddy
12,7,14,37,61,7.07,811,Cotton
7,12,1,33,65,6.45,718,Maize
27,14,4,25,50,6.52,1146,Sugarcane
18,41,12,30,58,6.92,1302,Paddy
30,23,7,25,53,7.86,663,Oil seeds
6,34,11,32,57,6.55,753,Pulses
22,31,3,25,56,7.38,698,Pulses
29,8,0,29,53,8.03,1187,Cotton
34,4,13,30,53,7.05,732,Oil seeds
35,13,14,26,70,7.28,548,Maize
17,7,4,32,57,6.92,728,Wheat
10,38,12,31,63,6.85,807,Pulses
30,22,16,25,64,7,480,Millets
17,18,2,26,63,6.06,688,Wheat
12,16,1,34,57,6.76,798,Wheat
20,26,12,31,52,7.41,398,Barley
21,42,9,38,53,7.64,755,Oil seeds
24,41,18,26,57,6.8,1871,Sugarcane
35,14,9,36,71,7.17,998,Ground Nuts
35,13,0,30,63,7.48,481,Millets
12,30,11,37,53,7.4,1012,Cotton
21,13,2,38,58,6.32,697,Tobacco
15,14,12,31,67,6.05,1152,Paddy
20,29,16,35,59,7.36,703,Cotton
13,8,13,31,55,7.29,674,Wheat
24,27,6,35,71,6.4,895,Pulses
32,9,1,29,65,7.33,591,Wheat
23,22,2,26,68,6.51,969,Wheat
7,23,13,30,72,7.25,555,Pulses
35,27,16,29,69,6.36,761,Barley
15,10,15,30,68,7.11,949,Cotton
20,22,12,36,68,7.36,888,Pulses
22,12,6,37,65,6.04,389,Millets
24,34,4,36,51,7.43,774,Maize
20,7,10,25,60,5.57,1380,Paddy
32,37,11,25,70,6.31,1002,Ground Nuts
7,19,6,27,67,7.22,584,Wheat
20,0,10,28,62,6.45,869,Pulses
26,41,18,26,59,6.05,441,Barley
11,7,4,32,58,7.9,423,Oil seeds
37,18,9,29,67,6.54,811,Wheat
41,21,5,33,52,7.17,818,Ground Nuts
36,36,16,28,68,8.05,758,Cotton
4,7,8,36,58,6.6,890,Tobacco
36,29,7,31,57,7.07,790,Pulses
21,22,15,33,70,6.78,624,Tobacco
23,39,13,28,53,6.14,513,Wheat
17,6,18,37,72,7.01,515,Millets
12,2,9,38,60,6.39,484,Barley
41,12,2,29,53,6.2,500,Maize
11,31,0,25,70,6.56,1384,Sugarcane
35,40,5,29,58,6.61,1145,Paddy
18,40,7,35,65,6.43,558,Maize
9,32,5,29,68,5.84,785,Tobacco
32,5,5,34,56,6.09,402,Wheat
7,2,11,27,62,6.05,1203,Sugarcane
41,19,10,33,62,6.18,405,Millets
20,37,19,25,70,6.88,1314,Paddy
16,5,6,32,50,6.56,370,Millets
15,15,10,28,62,6.26,443,Millets
41,4,19,33,68,7.29,654,Maize
7,10,12,27,53,7.12,436,Pulses
4,35,6,36,53,6.08,526,Maize
28,31,8,35,53,6.65,1380,Paddy
21,33,8,27,56,7.32,1487,Sugarcane
36,8,5,30,52,5.73,721,Tobacco
38,41,6,35,72,7.26,587,Pulses
33,41,12,29,64,6.47,459,Barley
14,41,1,33,53,6.12,709,Wheat
22,29,6,29,59,7.57,1009,Cotton
19,29,5,25,70,7.32,718,Cotton
15,41,3,28,54,6.52,1098,Ground Nuts
10,39,1,31,55,7.35,792,Maize
20,19,1,32,52,6.86,317,Barley
4,8,7,30,72,6.56,1454,Sugarcane
37,25,14,28,56,6.85,1338,Paddy
32,26,2,37,71,6.68,645,Pulses
35,1,8,27,60,7.14,823,Ground Nuts
23,27,11,26,50,7.31,673,Maize
9,26,0,30,51,6.36,641,Tobacco
31,18,18,28,69,5.57,1039,Paddy
19,33,11,36,61,6.78,1551,Sugarcane
36,22,17,33,54,7.04,380,Millets
25,38,5,32,62,7.99,535,Oil seeds
34,21,14,38,50,6.43,437,Millets
33,24,12,36,53,6.03,633,Barley
6,41,1,36,65,6.03,632,Wheat
26,7,6,35,56,7.26,459,Barley
31,26,11,26,54,7.32,322,Millets
25,8,7,30,51,7.32,626,Barley
20,24,18,26,58,7.18,715,Cotton
21,16,11,30,62,7.19,1466,Sugarcane
18,27,1,36,51,6.57,463,Millets
6,20,16,34,61,6.81,1562,Sugarcane
25,32,2,35,53,7.33,377,Millets
34,15,8,35,55,6.28,765,Maize
32,4,18,32,62,6.49,656,Barley
33,9,7,37,59,6.26,536,Ground Nuts
26,5,17,37,50,6.65,821,Pulses
36,9,5,35,71,6.12,853,Ground Nuts
9,4,5,32,70,6.98,1162,Sugarcane
4,38,8,37,55,6.89,557,Barley
41,28,12,29,61,6.5,567,Millets
42,9,19,38,66,7.03,788,Pulses
17,34,3,34,55,7.35,795,Pulses
41,22,12,27,57,7.44,551,Millets
20,20,19,28,70,6.94,1233,Paddy
41,42,9,37,55,6.22,471,Barley
42,11,14,33,69,6.31,1750,Sugarcane
34,0,3,37,63,7.41,679,Barley
31,27,4,35,62,6.74,474,Barley
38,20,1,38,52,7.05,565,Maize
35,14,1,33,72,7.99,800,Cotton
27,1,5,38,71,6.59,579,Wheat
34,26,19,25,63,6.2,959,Wheat
37,24,11,38,50,6.52,761,Tobacco
29,8,12,38,64,6.75,1996,Sugarcane
7,11,12,30,71,7.48,507,Oil seeds
12,19,4,31,60,6.57,654,Ground Nuts
5,37,4,30,66,6.95,1067,Paddy
32,30,13,30,68,6.11,789,Barley
21,38,7,30,60,6.77,1181,Ground Nuts
31,12,15,37,68,6.8,1089,Paddy
30,5,15,38,51,6.45,626,Tobacco
34,29,19,30,60,7.04,736,Wheat
9,13,18,36,67,7.34,524,Millets
9,14,6,25,52,6.72,549,Maize
4,41,19,31,65,7.1,455,Millets
37,42,15,37,72,7.17,728,Barley
19,16,1,34,71,6.4,1787,Sugarcane
5,6,0,34,57,6.27,1308,Sugarcane
11,4,7,25,52,6.8,722,Maize
32,33,10,29,54,6.17,305,Barley
39,11,5,28,68,7.77,863,Cotton
24,41,11,38,50,5.73,903,Tobacco
16,9,6,27,70,7.96,597,Oil seeds
32,22,8,38,56,6.4,498,Wheat
36,21,13,35,61,6.16,694,Maize
35,29,6,31,53,7.18,638,Maize
32,1,7,28,57,7.58,757,Cotton
13,13,5,29,66,6.62,785,Barley
21,27,14,26,70,6.16,827,Tobacco
24,3,14,26,69,6.94,1351,Paddy
11,14,8,36,56,5.89,889,Tobacco
20,17,9,33,66,6.45,727,Pulses
36,4,15,27,63,6.01,561,Millets
20,21,16,37,68,7.07,654,Barley
11,12,7,28,50,6.84,945,Wheat
18,7,2,37,52,6.65,668,Barley
40,23,0,26,56,6.98,655,Ground Nuts
33,40,14,31,57,5.86,638,Tobacco
20,30,14,27,57,7.05,620,Maize
7,2,1,37,53,7.35,1451,Sugarcane
38,6,16,34,56,6.63,552,Millets
13,11,1,27,68,7.09,1089,Sugarcane
14,4,17,38,54,6.55,628,Wheat
16,16,4,30,65,6.39,507,Ground Nuts
32,1,4,36,67,7.01,483,Millets
11,33,1,35,61,7.61,628,Wheat
17,34,15,29,66,6.02,1115,Paddy
32,11,1,38,52,6.04,1026,Ground Nuts
33,42,4,26,55,5.54,1217,Paddy
4,21,15,35,50,6.44,712,Wheat
42,10,17,38,52,6.76,303,Millets
30,19,14,32,57,8.11,834,Cotton
19,24,13,30,54,6.28,564,Pulses
20,31,0,29,59,7.4,512,Millets
25,29,1,29,51,7.76,997,Cotton
32,23,9,30,52,6.64,1025,Ground Nuts
15,25,0,32,67,6.84,1288,Paddy
19,32,18,28,67,7.35,637,Maize
25,36,14,30,64,6.94,622,Ground Nuts
34,18,11,34,61,7.68,730,Wheat
20,33,1,27,64,7.59,467,Wheat
31,24,17,30,50,7.26,370,Millets
38,40,16,26,71,6.23,677,Tobacco
11,1,12,25,69,6.27,498,Pulses
19,42,18,34,56,7.47,816,Wheat
17,15,14,32,71,6.93,669,Wheat
32,39,19,28,71,7.06,714,Ground Nuts
15,27,12,32,64,6.22,729,Ground Nuts
13,12,13,28,52,6.17,517,Millets
17,37,3,35,63,6.42,691,Barley
19,2,13,33,57,6.36,312,Barley
27,19,19,32,60,6.73,614,Wheat
25,10,10,30,61,6.91,427,Oil seeds
39,22,9,30,58,6.89,607,Pulses
8,42,1,26,71,6.57,1413,Paddy
17,19,10,28,58,6.41,1311,Paddy
18,3,18,35,56,7.05,590,Wheat
11,5,14,29,61,5.66,867,Tobacco
28,8,5,37,60,7.45,1154,Cotton
11,8,6,27,60,7.08,740,Barley
34,38,17,36,65,6.17,921,Ground Nuts
9,32,18,38,56,7.35,687,Barley
24,7,16,36,55,7.62,695,Wheat
36,18,7,29,54,6.48,673,Ground Nuts
22,1,18,36,59,7.1,1940,Sugarcane
39,27,4,27,52,6.76,1415,Paddy
25,36,13,36,52,5.95,1476,Paddy
12,34,4,38,61,7.11,1061,Cotton
39,39,3,25,59,6.04,824,Tobacco
12,22,7,29,57,7.44,872,Cotton
17,5,16,37,61,6.04,434,Wheat
20,38,1,33,57,7.18,547,Maize
22,23,19,25,50,7.29,713,Oil seeds
5,39,3,28,51,6.55,568,Wheat
30,5,0,28,53,7.25,387,Barley
33,26,7,38,62,6.13,363,Millets
40,26,13,35,66,7.44,761,Cotton
8,1,11,34,58,6.16,1847,Sugarcane
9,16,3,38,61,6.76,672,Ground Nuts
28,18,1,29,68,6.52,1152,Sugarcane
6,20,4,35,68,6.01,866,Pulses
8,8,5,25,65,6.55,963,Wheat
11,41,5,34,60,6.68,860,Tobacco
18,30,9,38,54,6.8,718,Ground Nuts
20,27,3,33,64,6.89,1118,Ground Nuts
30,39,18,28,63,6.36,665,Pulses
34,31,5,38,60,6.99,519,Maize
15,30,13,29,68,6.58,1702,Sugarcane
15,12,17,28,59,6.54,511,Maize
36,36,3,25,61,7.32,1144,Sugarcane
30,5,16,26,62,6.26,520,Millets
16,14,17,27,63,6.34,658,Wheat
11,42,1,35,60,6.5,475,Wheat
40,39,6,31,65,7.48,343,Barley
25,33,10,38,51,6.63,1944,Sugarcane
5,40,6,30,50,5.79,1408,Paddy
24,35,7,38,64,6.96,890,Wheat
24,31,3,36,64,6.64,563,Ground Nuts
29,24,11,30,64,6.93,753,Wheat
39,39,2,35,52,6.15,1069,Paddy
12,36,9,34,56,5.98,767,Tobacco
18,15,7,25,58,6.71,697,Maize
33,25,14,26,50,7.38,837,Wheat
16,3,7,29,56,6.46,801,Tobacco
20,9,16,25,52,6.53,519,Wheat
9,29,15,34,53,7.36,388,Barley
29,14,6,26,59,6.8,1877,Sugarcane
